Number One,Number Two,Their GCD,Time Spent (Nanoseconds)
8137,-5443,1,22200
13177,-1236,1,7600
8779,-14728,1,1800
4292,-15591,1,20200
5978,15371,1,21500
15,6763,1,21200
-7669,10563,1,9300
4805,3186,1,14500
-7745,11280,5,4400
-1308,8132,4,15500
-4862,-15908,2,11300
-768,4145,1,22000
-3149,-3813,1,5900
-15478,-6919,1,5300
3174,12579,3,9600
-2222,14141,1,17400
-3834,1086,6,19500
-16053,15540,3,1600
11967,-2050,1,22200
6542,-5473,1,3100
3354,-47,1,8100
1954,-15105,1,200
-3990,-8747,1,22200
14331,11781,51,13300
15208,3566,2,17400
2752,-13878,2,5300
-3046,-6379,1,21400
-46,-13760,2,8800
12281,-6413,1,18900
9225,14185,5,8800
2898,-9298,2,19700
-7231,1990,1,13100
12269,-8189,1,2800
-6507,7443,9,11300
12013,-8811,1,10300
-10134,-1743,3,12100
12791,2436,1,2500
-15440,16228,4,3400
-14442,3906,6,22600
-7964,-10818,2,5600
-12578,-8798,2,15000
-167,15067,1,12100
-14768,-13774,142,20700
-5319,-7217,1,18800
510,-309,3,9900
-2874,13917,3,600
3312,-6810,6,19100
-794,-3222,2,9700
14789,1585,1,4500
10975,9648,1,2300
9885,3043,1,13300
12127,-5961,1,4200
14391,-7604,1,8200
14527,7169,1,10600
-12201,9008,1,9900
-888,-10619,37,12600
-15509,-15019,1,14600
-1481,11872,1,20600
-11923,-15909,1,16400
-9411,10438,1,21800
9739,9164,1,14400
5194,-6594,14,12600
9222,13812,6,9200
11211,-8433,3,19100
-40,-15629,1,11700
-13902,-15371,1,21400
-4711,7056,7,21300
-2955,-10471,1,9700
-6621,-10416,3,14400
8025,-11968,1,14300
-14475,840,15,16500
-4624,10051,1,1200
-11179,13103,1,14000
-12064,-15425,1,18000
-10438,10423,1,21500
-8217,2317,1,15000
-5016,1309,11,3600
5404,12149,1,2300
14173,14591,1,18100
-12936,-11362,2,21600
1900,9839,1,17400
12948,-14007,3,14800
12200,10565,5,21100
-3660,1599,3,15900
5635,-1607,1,2700
-7163,14728,1,2600
15799,7473,1,22000
3107,-7458,1,11200
-12059,-9897,1,11000
3294,-414,18,14600
-4740,-8849,1,800
-706,6285,1,13400
14685,5608,1,9400
15813,-8600,1,8500
445,-8656,1,12900
13043,-512,1,12800
-5686,1229,1,900
2320,-5356,4,1900
-4975,-10838,1,8100
-6875,-9198,1,16000
13855,7854,17,13700
10060,4930,10,11600
6118,-7533,1,7400
8745,-14272,1,11300
7267,11766,1,21200
-5191,-14929,1,17400
-514,-15702,2,22000
11082,3884,2,23200
1330,3410,10,5800
2251,9089,1,5200
4589,6447,1,13400
8518,12059,1,9600
-11206,-2506,2,17800
9387,-15681,3,3800
-2019,-15002,1,23200
207,-7560,9,22100
-14146,-8360,22,11200
15796,212,4,12300
3786,-14056,2,400
-4341,14927,1,20700
11799,-5325,3,22000
-8457,-6896,1,8000
-14713,16145,1,10200
-10732,-14125,1,23800
-9170,-6523,1,28100
9400,4903,1,9400
-13641,-7773,3,7700
-11911,-9255,1,11600
2051,-10542,7,13700
4335,-12880,5,15600
-1516,8482,2,19700
-5445,-14502,3,11700
-7126,6367,1,20200
12231,2215,1,8900
12075,-13722,3,3300
9680,16373,1,19100
4424,3895,1,22900
3106,3052,2,5600
-10018,15692,2,4300
-8797,-14997,1,21500
-8550,-8023,1,20600
-3053,9665,1,11700
-7455,13109,1,14500
-3950,7457,1,19500
-9617,-14648,1,12300
3427,-4784,23,20200
-4546,5509,1,6700
15599,-9055,1,7600
12969,-5014,1,12500
